id_hecho,federal,tipo_persona,provincia_nombre,departamento_nombre,localidad_nombre,latitud,longitud,anio,mes,fecha_hecho,hora_hecho,calle_nombre,calle_altura,calle_interseccion,calle_interseccion_nombre,semaforo_estado,tipo_lugar,modo_produccion_hecho,clima_condicion,clima_otro,motivo_origen_registro,victima_sexo,victima_tr_edad,victima_18_años_o_mas,victima_clase,victima_vehiculo,victima_identidad_genero,inculpado_sexo,inculpado_tr_edad,inculpado_18_años_o_mas,inculpado_vehiculo
31482,No,Imputado,Misiones,Iguazú,Libertad,,,2021,enero,10/01/2021,17:00:00,SIN NOMBRE,0,Sí,BARRIO SAN ISIDRO LABRADOR,Sin semáforo,Calle,Colisión vehículo-vehículo,Bueno,,Intervención policial,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,Masculino,25-29,Sí,Motocicleta
31482,No,Víctima,Misiones,Iguazú,Libertad,,,2021,enero,10/01/2021,17:00:00,SIN NOMBRE,0,Sí,BARRIO SAN ISIDRO LABRADOR,Sin semáforo,Calle,Colisión vehículo-vehículo,Bueno,,Intervención policial,Masculino,Sin determinar,No corresponde,Conductor,Motocicleta,Varón,No corresponde,No corresponde,No corresponde,No corresponde
31484,No,Imputado,Misiones,Iguazú,Puerto Iguazú,,,2021,enero,23/01/2021,6:45:00,SIN NOMBRE,0,Sí,600 HECTAREAS FRENTE HOTEL LOIS SUIT,Sin semáforo,Calle,Vuelco-Despistes,Bueno,,Intervención policial,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,Sin determinar,Sin determinar,Sí,Sin determinar
31484,No,Víctima,Misiones,Iguazú,Puerto Iguazú,,,2021,enero,23/01/2021,6:45:00,SIN NOMBRE,0,Sí,600 HECTAREAS FRENTE HOTEL LOIS SUIT,Sin semáforo,Calle,Vuelco-Despistes,Bueno,,Intervención policial,Masculino,40-44,No corresponde,Conductor,Automóvil,Varón,No corresponde,No corresponde,No corresponde,No corresponde
31484,No,Víctima,Misiones,Iguazú,Puerto Iguazú,,,2021,enero,23/01/2021,6:45:00,SIN NOMBRE,0,Sí,600 HECTAREAS FRENTE HOTEL LOIS SUIT,Sin semáforo,Calle,Vuelco-Despistes,Bueno,,Intervención policial,Masculino,30-34,No corresponde,Acompañante,Automóvil,Varón,No corresponde,No corresponde,No corresponde,No corresponde
31548,No,Imputado,Misiones,San Javier,Itacaruaré,,,2021,enero,28/01/2021,12:37:00,RUTA PROVINCIAL N° 4,0,Sí,RUTA PROVINCIAL N° 2,Sin semáforo,Ruta Provincial,Vuelco-Despistes,Bueno,,Intervención policial,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,Masculino,65-69,Sí,Camioneta
31548,No,Víctima,Misiones,San Javier,Itacaruaré,,,2021,enero,28/01/2021,12:37:00,RUTA PROVINCIAL N° 4,0,Sí,RUTA PROVINCIAL N° 2,Sin semáforo,Ruta Provincial,Vuelco-Despistes,Bueno,,Intervención policial,Masculino,25-29,No corresponde,Acompañante,Camioneta,Varón,No corresponde,No corresponde,No corresponde,No corresponde
31549,No,Imputado,Formosa,Patiño,Las Lomitas,,,2021,enero,04/01/2021,17:20:00,RUTA NACIONAL N° 81,,Sí,Ex MOTEL  DESEOS,Sin semáforo,Ruta Nacional,Colisión vehículo-vehículo,Bueno,,Intervención policial,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,Masculino,30-34,Sí,Camioneta
31549,No,Víctima,Formosa,Patiño,Las Lomitas,,,2021,enero,04/01/2021,17:20:00,RUTA NACIONAL N° 81,,Sí,Ex MOTEL  DESEOS,Sin semáforo,Ruta Nacional,Colisión vehículo-vehículo,Bueno,,Intervención policial,Femenino,40-44,No corresponde,Conductor,Motocicleta,Mujer,No corresponde,No corresponde,No corresponde,No corresponde
31550,No,Imputado,Formosa,Formosa,Formosa,-26,-58,2021,enero,31/01/2021,6:20:00,Avenida Gendarmería Nacional,,Sí,Avenida Italia,Sin semáforo,Calle,Colisión vehículo-objeto,Lluvia,,Intervención policial,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,Sin determinar,Sin determinar,Sí,Sin determinar
31550,No,Víctima,Formosa,Formosa,Formosa,-26,-58,2021,enero,31/01/2021,6:20:00,Avenida Gendarmería Nacional,,Sí,Avenida Italia,Sin semáforo,Calle,Colisión vehículo-objeto,Lluvia,,Intervención policial,Masculino,25-29,No corresponde,Conductor,Motocicleta,Varón,No corresponde,No corresponde,No corresponde,No corresponde
31552,No,Víctima,Misiones,Apóstoles,Tres Capones,,,2021,enero,10/01/2021,17:00:00,CAMINO VECINAL TERRADO,50,No,,Sin semáforo,Calle,Vuelco-Despistes,Bueno,,Intervención policial,Masculino,25-29,No corresponde,Conductor,Motocicleta,Varón,No corresponde,No corresponde,No corresponde,No corresponde
31555,No,Imputado,Misiones,Guaraní,El Soberbio,,,2021,enero,01/01/2021,20:15:00,RUTA PROVINCIAL COSTERA N° 2,2,No,,Sin semáforo,Ruta Provincial,Colisión vehículo-vehículo,Sin determinar,,Intervención policial,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,Masculino,20-24,Sí,Automóvil
31555,No,Víctima,Misiones,Guaraní,El Soberbio,,,2021,enero,01/01/2021,20:15:00,RUTA PROVINCIAL COSTERA N° 2,2,No,,Sin semáforo,Ruta Provincial,Colisión vehículo-vehículo,Sin determinar,,Intervención policial,Masculino,20-24,No corresponde,Conductor,Motocicleta,Varón,No corresponde,No corresponde,No corresponde,No corresponde
31600,No,Imputado,Misiones,Guaraní,San Vicente,,,2021,febrero,05/02/2021,16:30:00,RUTA NACIONAL N° 14,977,No,,Sin semáforo,Ruta Nacional,Colisión vehículo-vehículo,Bueno,,Intervención policial,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,Masculino,20-24,Sí,Camión
31600,No,Víctima,Misiones,Guaraní,San Vicente,,,2021,febrero,05/02/2021,16:30:00,RUTA NACIONAL N° 14,977,No,,Sin semáforo,Ruta Nacional,Colisión vehículo-vehículo,Bueno,,Intervención policial,Masculino,15-19,No corresponde,Conductor,Motocicleta,Varón,No corresponde,No corresponde,No corresponde,No corresponde
31601,No,Imputado,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Ushuaia,Ushuaia,,,2021,enero,22/01/2021,19:15:00,Ruta Nacional Nº3,3042,No,,Sin semáforo,Ruta Nacional,Vuelco-Despistes,Bueno,,Intervención policial,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,Masculino,15-19,No,Automóvil
31601,No,Víctima,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Ushuaia,Ushuaia,,,2021,enero,22/01/2021,19:15:00,Ruta Nacional Nº3,3042,No,,Sin semáforo,Ruta Nacional,Vuelco-Despistes,Bueno,,Intervención policial,Masculino,15-19,No corresponde,Acompañante,Automóvil,Varón,No corresponde,No corresponde,No corresponde,No corresponde
